priority_rank,priority_score,action_bucket,evidence_gap,status,symbol,market,research_topic,signal_to_validate,needed_input,verification_method,risk_if_skipped,blockers,task_id,source_report
97,77,ManualReview,RiskGate,待验证,300024,CN,盘前：恒生科技ETF博时 NeedsMoreEvide nce 159742 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流,恒生科技ETF博时 NeedsMoreEvide nce 159742 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_56c820eb7da8ca4d758b,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
98,77,ManualReview,RiskGate,待验证,399986,CN,盘前：恒生科技ETF博时 NeedsMoreEvide nce 159742 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流,恒生科技ETF博时 NeedsMoreEvide nce 159742 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_7009a47d437d2784feff,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
99,77,ManualReview,RiskGate,待验证,000001,CN,盘前：纳斯达克 NeedsMoreEvide nce NDAQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blo,纳斯达克 NeedsMoreEvide nce NDAQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_6c7e40c034ec2f3e42a0,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
100,77,ManualReview,RiskGate,待验证,000688,CN,盘前：纳斯达克 NeedsMoreEvide nce NDAQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blo,纳斯达克 NeedsMoreEvide nce NDAQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_937cbb1a5441ee3c8acc,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
101,77,ManualReview,RiskGate,待验证,300024,CN,盘前：纳斯达克 NeedsMoreEvide nce NDAQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blo,纳斯达克 NeedsMoreEvide nce NDAQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_962d0f272a9247ab6dea,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
102,77,ManualReview,RiskGate,待验证,399986,CN,盘前：纳斯达克 NeedsMoreEvide nce NDAQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blo,纳斯达克 NeedsMoreEvide nce NDAQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_dcd052d1153d632692b9,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
103,77,ManualReview,RiskGate,待验证,000001,CN,盘后：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_c8e5715eaee536576dc2,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/3. 04062026_盘后报告.md
104,77,ManualReview,RiskGate,待验证,000688,CN,盘后：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_15d8996c744f4e6775b2,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/3. 04062026_盘后报告.md
105,77,ManualReview,RiskGate,待验证,300024,CN,盘后：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_7dcc06d27d67fc8b31ff,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/3. 04062026_盘后报告.md
106,77,ManualReview,RiskGate,待验证,399986,CN,盘后：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_a70920a0f93b41fc262e,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/3. 04062026_盘后报告.md
107,77,ManualReview,RiskGate,待验证,000001,CN,盘后：- 复盘结论：收益来自单一主题时，次日降低主题集中；收益来自多主题且 QuantLab 风险闸门未否定时，保留为次日优先观察,- 复盘结论：收益来自单一主题时，次日降低主题集中；收益来自多主题且 QuantLab 风险闸门未否定时，保留为次日优先观察,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_a8d994ea795ec515d7f5,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/3. 04062026_盘后报告.md
108,77,ManualReview,RiskGate,待验证,000688,CN,盘后：- 复盘结论：收益来自单一主题时，次日降低主题集中；收益来自多主题且 QuantLab 风险闸门未否定时，保留为次日优先观察,- 复盘结论：收益来自单一主题时，次日降低主题集中；收益来自多主题且 QuantLab 风险闸门未否定时，保留为次日优先观察,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_0dfa0d20f8d8c0eb4b59,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/3. 04062026_盘后报告.md
109,77,ManualReview,RiskGate,待验证,300024,CN,盘后：- 复盘结论：收益来自单一主题时，次日降低主题集中；收益来自多主题且 QuantLab 风险闸门未否定时，保留为次日优先观察,- 复盘结论：收益来自单一主题时，次日降低主题集中；收益来自多主题且 QuantLab 风险闸门未否定时，保留为次日优先观察,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_d956a545aed4f02efbc4,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/3. 04062026_盘后报告.md
110,77,ManualReview,RiskGate,待验证,399986,CN,盘后：- 复盘结论：收益来自单一主题时，次日降低主题集中；收益来自多主题且 QuantLab 风险闸门未否定时，保留为次日优先观察,- 复盘结论：收益来自单一主题时，次日降低主题集中；收益来自多主题且 QuantLab 风险闸门未否定时，保留为次日优先观察,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_36a8e6aef89850c8d02a,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/3. 04062026_盘后报告.md
111,77,ManualReview,RiskGate,待验证,000001,CN,盘中：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_e28c82f1480fcacfe3f2,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/2. 04062026_盘中报告.md
112,77,ManualReview,RiskGate,待验证,000688,CN,盘中：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_bbaa478d343b9eed0ee1,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/2. 04062026_盘中报告.md
113,77,ManualReview,RiskGate,待验证,300024,CN,盘中：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_058a23af695f3c06a5c9,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/2. 04062026_盘中报告.md
114,77,ManualReview,RiskGate,待验证,399986,CN,盘中：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_22a94d34ca1e4e814b9b,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/2. 04062026_盘中报告.md
115,77,ManualReview,RiskGate,待验证,000001,CN,盘前：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_5f4b2ddc2b64961db880,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/1. 04062026_盘前报告.md
116,77,ManualReview,RiskGate,待验证,000688,CN,盘前：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_2cd8365643a5ba71bb4e,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/1. 04062026_盘前报告.md
117,77,ManualReview,RiskGate,待验证,300024,CN,盘前：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_e378d688232cabfdf183,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/1. 04062026_盘前报告.md
118,77,ManualReview,RiskGate,待验证,399986,CN,盘前：| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,| 需要尾盘不能放量突破、上涨缺乏持续事件支持、QuantLab风险闸门不否定卖出,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_66549ddd3310a24ad4e7,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/1. 04062026_盘前报告.md
119,77,ManualReview,RiskGate,待验证,300024,CN,k线：| 代码 | 名称 | 验证状态 | 还需要的证据 | 原因 | 当前操作行为 | | --- | --- | --- | --- | --- | --- |,| 代码 | 名称 | 验证状态 | 还需要的证据 | 原因 | 当前操作行为 | | --- | --- | --- | --- | --- | --- | | 516570 | 化工行业ETF易方达 | NeedsMoreEvidence | 后续1-3日止跌并重新站上5/10日短均线，成交量由放大转平稳。；同时需要风险闸门从Blocked变为Pass,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_7f60a8e79f32fc1e3b6f,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. 04062026_K线分析报告.md
120,77,ManualReview,RiskGate,待验证,300024,CN,k线：| 验证不足：风险闸门未通过，不能升级为操作依据,| 验证不足：风险闸门未通过，不能升级为操作依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_67a6fce7f842ae3ada33,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. 04062026_K线分析报告.md
121,77,ManualReview,RiskGate,待验证,300024,CN,k线：| | 300024 | 机器人 | NeedsMoreEvidence | 后续2日方向选择；未突破MA20/MA60前不升级。；同时需要风险闸门从Block,| | 300024 | 机器人 | NeedsMoreEvidence | 后续2日方向选择；未突破MA20/MA60前不升级。；同时需要风险闸门从Blocked变为Pass,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_631668d402db8dbf0f6c,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. 04062026_K线分析报告.md
122,77,ManualReview,RiskGate,待验证,000001,CN,k线：| Name | 主题 | Research Confidence Score | 研究等级 | 数据完整性 | QuantLab状态 | 主要缺口 | | -,| Name | 主题 | Research Confidence Score | 研究等级 | 数据完整性 | QuantLab状态 | 主要缺口 | | --- | --- | --- | --- | --- | --- | --- | | 恒生科技ETF博时 | 港股科技 | 0.600 | Watch Only | 完整 | NeedsMoreEvidence | 事件未匹配；估值缺失；QuantLab风险闸门未通过 | | 红利低波ETF易方达 | 红利低波 | 0.750 | Watch Only | 完整 | NeedsMoreEviden,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_c7016444246fc65b4b30,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
123,77,ManualReview,RiskGate,待验证,000688,CN,k线：| Name | 主题 | Research Confidence Score | 研究等级 | 数据完整性 | QuantLab状态 | 主要缺口 | | -,| Name | 主题 | Research Confidence Score | 研究等级 | 数据完整性 | QuantLab状态 | 主要缺口 | | --- | --- | --- | --- | --- | --- | --- | | 恒生科技ETF博时 | 港股科技 | 0.600 | Watch Only | 完整 | NeedsMoreEvidence | 事件未匹配；估值缺失；QuantLab风险闸门未通过 | | 红利低波ETF易方达 | 红利低波 | 0.750 | Watch Only | 完整 | NeedsMoreEviden,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_a29672e8fb75769fe0a9,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
124,77,ManualReview,RiskGate,待验证,300024,CN,k线：| Name | 主题 | Research Confidence Score | 研究等级 | 数据完整性 | QuantLab状态 | 主要缺口 | | -,| Name | 主题 | Research Confidence Score | 研究等级 | 数据完整性 | QuantLab状态 | 主要缺口 | | --- | --- | --- | --- | --- | --- | --- | | 恒生科技ETF博时 | 港股科技 | 0.600 | Watch Only | 完整 | NeedsMoreEvidence | 事件未匹配；估值缺失；QuantLab风险闸门未通过 | | 红利低波ETF易方达 | 红利低波 | 0.750 | Watch Only | 完整 | NeedsMoreEviden,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_6ecebaeb7eaca407101d,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
125,77,ManualReview,RiskGate,待验证,399986,CN,k线：| Name | 主题 | Research Confidence Score | 研究等级 | 数据完整性 | QuantLab状态 | 主要缺口 | | -,| Name | 主题 | Research Confidence Score | 研究等级 | 数据完整性 | QuantLab状态 | 主要缺口 | | --- | --- | --- | --- | --- | --- | --- | | 恒生科技ETF博时 | 港股科技 | 0.600 | Watch Only | 完整 | NeedsMoreEvidence | 事件未匹配；估值缺失；QuantLab风险闸门未通过 | | 红利低波ETF易方达 | 红利低波 | 0.750 | Watch Only | 完整 | NeedsMoreEviden,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_ec6f2215065c831f1a42,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
126,77,ManualReview,RiskGate,待验证,300024,CN,k线：| Name | 验证状态 | 回测对象 | 样本区间 | 成本假设 | 模拟次数 | 重跑要求 | 风险闸门 | 验证结论 | | --- | --- | -,| Name | 验证状态 | 回测对象 | 样本区间 | 成本假设 | 模拟次数 | 重跑要求 | 风险闸门 | 验证结论 | | --- | --- | --- | --- | --- | --- | --- | --- | --- | | 机器人 | NeedsMoreEvidence | 300024 | 可用历史样本 725 条 | 申赎费/管理费/滑点/15:00收盘确认 | 100000次 | 全流程2次 | Blocked | 验证不足：风险闸门未通过，不能升级为操作依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_ec853d23269c1d4da799,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
127,77,ManualReview,RiskGate,待验证,000001,CN,k线：| | 化工行业ETF易方达 | NeedsMoreEvidence | 516570 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确,| | 化工行业ETF易方达 | NeedsMoreEvidence | 516570 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确认 | 100000次 | 全流程2次 | Blocked | 验证不足：风险闸门未通过，不能升级为操作依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_4e93eebf5e562c119e01,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
128,77,ManualReview,RiskGate,待验证,000688,CN,k线：| | 化工行业ETF易方达 | NeedsMoreEvidence | 516570 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确,| | 化工行业ETF易方达 | NeedsMoreEvidence | 516570 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确认 | 100000次 | 全流程2次 | Blocked | 验证不足：风险闸门未通过，不能升级为操作依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_6c33b9e4eda7d5406330,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
129,77,ManualReview,RiskGate,待验证,300024,CN,k线：| | 化工行业ETF易方达 | NeedsMoreEvidence | 516570 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确,| | 化工行业ETF易方达 | NeedsMoreEvidence | 516570 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确认 | 100000次 | 全流程2次 | Blocked | 验证不足：风险闸门未通过，不能升级为操作依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_5c0668a1d867a0a85a01,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
130,77,ManualReview,RiskGate,待验证,399986,CN,k线：| | 化工行业ETF易方达 | NeedsMoreEvidence | 516570 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确,| | 化工行业ETF易方达 | NeedsMoreEvidence | 516570 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确认 | 100000次 | 全流程2次 | Blocked | 验证不足：风险闸门未通过，不能升级为操作依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_37461e554b70c53d7b6f,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
131,77,ManualReview,RiskGate,待验证,000001,CN,k线：| | 人工智能ETF易方达 | NeedsMoreEvidence | 159819 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确,| | 人工智能ETF易方达 | NeedsMoreEvidence | 159819 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确认 | 100000次 | 全流程2次 | Blocked | 验证不足：风险闸门未通过，不能升级为操作依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_ce3d40ca16f47b7366ee,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
132,77,ManualReview,RiskGate,待验证,000688,CN,k线：| | 人工智能ETF易方达 | NeedsMoreEvidence | 159819 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确,| | 人工智能ETF易方达 | NeedsMoreEvidence | 159819 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确认 | 100000次 | 全流程2次 | Blocked | 验证不足：风险闸门未通过，不能升级为操作依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_2c5d959d38b2e523409f,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
133,77,ManualReview,RiskGate,待验证,300024,CN,k线：| | 人工智能ETF易方达 | NeedsMoreEvidence | 159819 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确,| | 人工智能ETF易方达 | NeedsMoreEvidence | 159819 | 可用历史样本 723 条 | 申赎费/管理费/滑点/15:00收盘确认 | 100000次 | 全流程2次 | Blocked | 验证不足：风险闸门未通过，不能升级为操作依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_62bf3dde2aa5ffdb1937,/Users/linzezhang/Documents/Codex/2026-06-03/files-mentioned-by-the-user-codex/outputs/AI-Research-System/data/report_artifacts/6月第1周 0106-0706/_markdown/4. K线分析报告_03062026.md
